編號,分類,等級,分類1,分類2,分類3,分類4,語句,翻譯,音檔路徑,語別,方言別
680,T,U,12,2,,,"3. U dademakan nu selal, (1) Miliyut tu niyaru’ a miseveng. (2) Midemak tu demak nu niyaru’. (3) Midemak tu nikeduhan a demak nu niyaru’. (4) Midemak tu lisin nu niyaru’. (5) Semamesan tu sapilais nu niyaru’. (6) Ira hen ku ruma a dademakan.",[---] 三、年齡階級任務：1. 捍衛部落安全。2. 負責部落公共事務。3. 處理部落急難事件的救助。4. 協助部落歲時祭儀的執行。5. 接受戰技訓練等等教育。6. 其他。,,阿美語,1
681,T,U,12,2,,,"4. U lingad nu sakasaselal, I aayaw nu nikasaselal, ira ku nipatalaayaw a pasevana’ tu kakavana’an tu serangawan. Itiya a remiad, maka i haravaran nu davak, tuluay tangasa i sepatay ku tuki, malecapu tu i taluan nu niyaru’. Mitulun, milunguc tu tuas ku tumuk a patalaayaw, anu sipakayni i nanu tuas, pasawali a mavekac a tangasa i dadisapan nu liyal ku nikarengreng nu miselalay, patinaku u valuhay tu ku tireng i niyaru’ sananay. Yu palulamal ku tumuk tu marengrengay, ira ku nipilekal “U:wi! U kapah nu niyaru’, pasayraen i sadak nu cidal ku vekac, keday wawa!”",四、成年禮的儀式：成年禮之前要接受數日基本知識教育訓練。當日清晨三時至四時左右，在部落聚會所集合。由部落頭目祈福精神訓話之後，依傳統由部落聚會所出發，朝向東方海邊奔跑，必須在日出之前到達，這是越野賽跑的體能考驗，旭日東昇象徵部落的新生命。出發時，頭目發號司令：「各位優秀的阿美族子弟們，你們朝向東方日出的太陽奔跑吧！」這是南勢阿美馳名於世的成年禮文化。,,阿美語,1
682,T,U,12,2,,,"5. Malikuda a paherek, Natangasa tu i dadisapan nu liyal, makakitikitin a malikuda ku miselalay, milekal ku niyaru’ a pakaulah. Padamecen nu sikawasay atu tumuk ku diwas a pataluma’. Tu cila pavuuten nu matuasay tu takad a miluec tu lalikid nu niyaru’.",五、戰鬥成年禮：到達後，在沙灘上圍成大圓圈，狂跳戰鬥舞手牽手，心連心，與部落族人擁為一體。大家接受英雄式的歡呼與嘉勉，同時由祭師與頭目，把個人的生命之壺加持，攜帶回家。第二天由家長加冠，正式參加部落的豐年祭。,,阿美語,1
683,T,U,12,3,,,Malalikid,豐年祭,,阿美語,1
684,T,U,12,3,,,"U lalikid, tadamaanay a lisin nu niyaru’, tulu a remiad a patala, a malecapu ku kapah i taluan. U kaka nu selal ku mamikeriday a dademak. U kapah mitevuk tu vavuy, dudu sa sihawanay a selal, mikasuy, miawul a patireng tu adawang, u makatelucay a selal ku mivutingay a sapakaen tu matuasay. Sakacacay a remiad tu sangsangdev, sinikerid tu epah a tayra i taluan, saliyuten nu kapah a maru’ a mitengil tu nipitulun nu matuasay. U teluc nu selal, a mamisera tu malasangay a matuasay a pataluma’, anu makamelaw awaay ku mikitinay tu matuasay, a ayamen kira selal. Mahaen ku nipitulun nu matuasay, kiya malingad a remadiw, a misakeru militemuh tu tuas.",豐年祭是阿美族部落最重要的歲時祭活動，舉行為期三天的豐年祭。活動之前為準備期間，必須要由部落的青年組整理豐年祭會場。青年之父負責帶領青年及付諸行動及執行任務。青年負責殺豬，帶刀的階級負責砍木材及砍竹子，蓋暸望台，最小的青少年去河邊捕魚要孝敬老人。到了豐年祭第一天傍晚天黑之際正式展開迎靈祭歌舞儀式，耆老各帶自己要喝的酒去集會所，青年就圍坐著聆聽耆老的前訓。青少年負責護送酒醉的耆老，若看到耆老一人走在路上沒人護送，他們就要受懲罰。這是耆老對各階級的訓勉，之後就展開迎靈祭歌舞儀式。,,阿美語,1
685,T,U,12,3,,,"Sakacacay a remiad, silusid tu ku kapah a malalikid. Paleayaw a mivetik, a milunguc tu tuas ku tumuk atu sikawasay, u sakakapah nu lalikid, caay hen papicumudi ku vavahiyan. Malingatu tu a misakeru, dadudu satu ku selal a paradiw, a misakeru, namaherek a malahuk, kiya papicumuden ku silusiday a vavahiayan, tangasa nikaherek ku nikakumud a misakeru.",第一天，豐年祭正式開始，大家都會穿著傳統服。一開始會由頭目以及祭師們到會所進行祭祖靈儀式及祈福典禮，向天神祭拜並祈求活動順利成功，過程中忌諱女性進入。緊接著歌舞開始，由青年領唱帶頭跳舞，接著年齡階級就一個個跟上來跳，直到下午領唱的唱到「歡迎你們穿裙子的一起來跳舞」時，女性才能進入，直到豐年祭結束。,,阿美語,1
686,T,U,12,3,,,"Sakatulu a remiad a palalavang, maliyut a misakeru a pakaulah tu lavang. Itiya a lavii, pakakitin tu kapah atu limucedan, salavii satu a misakeru tangasa i terung nu lavii.",第三天即舉行宴客，是最後一天的活動，來賓可邊吃盛宴邊欣賞歌舞。祭典的最後一天夜晚，是情人之夜，男女青年的歡樂歌舞聲，也持續到深夜。,,阿美語,1
687,T,U,12,3,,,"Sakasepat a remiad, tayra ku selal a mivuting i tarawadaw a malikap, mitulun ku wama nu niyaru’, mapapaini tu suwal, icuwaan hakiya ku kapahay a demak? Icuwaan hakiya ku raecusay a demak? U raecusay haenen tu u nanum a palikid, hamanan tu pisimsim.",第四天，各個階級到河邊捕魚並在河邊吃中餐，這時青年之父訓勉各階層並檢討這幾天的過程，最後將所有一切負面的、不愉快的事情順著流水而去，不再追究。,,阿美語,1
688,T,U,12,4,,,Midudu tu narakatan nu malasawaday,追尋故人,,阿美語,1
689,T,U,12,4,,,"Yu matiya u niyaniyaruan nu Pangcah, yu simalasawaday, ira ku miduduay tu narakatan hananay a lisinan, anini mahiniyay a lisin, araw han malasawad tu.",阿美族喪葬習俗，同時保有守靈及陪伴喪家的習俗，但這個習俗漸漸地在阿美族部落消失了。,,阿美語,1
690,T,U,12,4,,,"Tayni ku mitangicay i luma’ a lalumaan, mararum ku valucu’ u mihinum tu silumaay misupid tu valucu’, a taleayaw hen ku nikaurip nu namu saan, misipu tu lusa’. Han tu ku nikaadada nu valucu’.",前來慰問者，是為了撫慰喪家的家族和親戚的悲傷，希望他們要學習釋懷放下，日子還長遠，為家人及喪家的孩子們擦拭他們的眼淚放下悲傷。,,阿美語,1
691,T,U,12,4,,,"Caay kavanai ku urip nu mita, a hacuwaay hakiya ku ditek nu nikaurip, samanan tu ku nikararum, pisakilemel han a maurip, sawaden tu ku rarum saan a mihinum tu silumaay.",人的生命我們是無法預知的，誰都無法控制生命何時到終點，要看清事實的真相，不需要過於悲痛，要執著放下悲慟。加倍努力地生活，勸慰悲慟的喪家。,,阿美語,1
692,T,U,12,4,,,"Napadungus tu cila, a tayni ku vaki atu vayi a mihakulung tu lalumaan a midudu tu narakatan, ya matuasay ku misacacacay sa a mihinum tu valucu’ nu silumaay.",送走往生者的第二天，喪家的家族vaki和vayi會到往生者常去的地方追尋往生者的靈魂，長輩們會一一地安慰喪家減輕他們的傷痛。,,阿美語,1
693,T,U,12,4,,,"Suwal sa ku matuasay, “Anu caay haeni ku demak, a caay kasivalucu’ a dademk ku silumaay.” Mitungal ku matuasay a mihinum tu nikaadada nu valucu’, misipu aca tu lusa’, yu dademak tu makasimsim tu kapahay a nalikulan nuya malasawaday.",[---] 家族的長輩說：「如果我們不這樣做，喪家的家族無法安心工作，難以釋懷放下。」長輩會加以安慰喪家的感傷，擦拭他們的眼淚，直到在工作崗位上會想起往生者在世時美好的一切。,,阿美語,1
694,T,U,12,4,,,"Yu midudu tu narakatan, tayra i kaulahan nira, mahiniyay u taluan, padatengan atu nikaumahan, saliyut sa a maru’ amin, pasuwal ku matuasay tu nikayraan nira, pasuwal aca tu nikalatamdaw nina malasawaday. Silumaay pacauv sa “Aray! Matepaay tu ku adingu ni ama niyam.”",追魂，是到往生者最喜歡也最常去的地方，如工寮、菜園以及耕作之處，大家圍坐在一起，敘述往生者生前的事蹟，並聆聽最年長者，講述往生者生前為人處事。喪家的家屬也答謝：「我今天來找我的爸爸，他就在這裡。」,,阿美語,1
695,T,U,12,4,,,"Mikilim tu adingu nu malasawaday, pacauv satu ku vaki atu vayi, “Padungusen tu nu vinawlan ku ama namu i nacila!” Liyaw satu ku kalas a paradiw tu sapihinum a radiw, sawadi tu ku rarum nu valucu’, sariharayen tu a misuayaw tu valuhayay a nikaurip!",尋找往生者的影子以及靈魂，vaki及vayi就回答說：「昨天，全部落的族人已把你們的爸爸送走了！」接著，耆老開始領唱喪禮歌謠，提醒喪家放下悲痛，恢復你們平常的生活，迎接新生活吧！,,阿美語,1
696,T,U,12,4,,,"U sapitangic a radiwan, u kakawaw tu nu Pangcah, u nanu tuas a nipaini a pakayni i radiw a misimsim tu malasawaday, u sapihinum aca tu lalumaan. Tangasa anini, sinikatengilan henay tu mahiyay a sapitangic a radiwan.",在喪禮中吟唱歌謠為阿美族的傳統，藉由吟唱來緬懷亡者和慰藉親友。至今，仍然聽得到耆老在部落吟唱撫慰喪家的歌謠。,,阿美語,1
697,T,U,12,5,,,Ci vaki ci Difang,郭英男阿公,,阿美語,1
698,T,U,12,5,,,"Anu makatengiltu tu macacaradaway a radiw nu Farangaw, makasimsim tu ci Difang vakian. Na i 1996 a mihcaan nu Aw-lin-pi-ke maedem tu cacay a patekenan a mihca, i Amilika nu A-te-lan-ta a Aw-yun-hoy, u iniyan ku niradiwan ni vaki tu saparadiw. U tadamaanay kina vaki! Makatengilay tina radiwan mahemek amin i ciraan, manay, ci Difang vaki han nu mita a pangangan!",馬蘭阿美族的音樂以複音聞名，而提到馬蘭複音歌謠，大家就想到郭英男先生。1996年是奧林匹克運動的100週年，於美國亞特蘭大舉行之奧運會使用的宣傳曲就是阿公唱的。「真是了不起啊！」聽到他歌聲的人們都這樣子尊崇他的成就，於是乎都尊稱他「Difang阿公」！,,阿美語,1
699,T,U,12,5,,,"I 1921 a mihca a suvucen ci Difang vaki i Farangaw a niyaruan, yu wawa henay pakuyucay ku luma’, yu pahutin tu rarapa, anu makatengiltu tu radiw nu matuasay, maulah tu a micaradaw a remadiw. Mihakulung aca tu matuasay a maumah, a mivuting, a mikisasapi’ tu remiremiad. Araw mavana’ a pacamul tu radiw, kaludemak han tu ni vaki ku radiw.",於1921年出生於馬蘭部落，阿公說：「小時候家裡貧窮，去放牛時，聽到大人們在唱，就喜歡跟著哼唱。」 大家每天都會一邊種田、捕魚和乘涼然後一邊唱歌練高低和聲，所以，彼此都有了很美妙的默契。對阿公來說，唱歌就是生活中最尋常的事情。,,阿美語,1
700,T,U,12,5,,,"U radiw ni Difang vaki, i valucu’ nu mitengilay. Itiya i savaw tu pitu a mihcaan, malapaparadiway nu alumanay i niyaru’ cira, sinitala cira tu remiad a malamikeriday tu radiw nu tuas. Iri sadahalen ku makatengilay i hekal a tamtamdawan. “U radiw nu maliepah a matuasay” saan. Kiya, singangan kavana’en tu ci vaki atu niyaru’ nu Farangaw i kitakit nu hekal.",[---] Difang阿公的歌聲令人動容，牢牢地征服了每一個聆聽的人。十七歲便破格錄用成為部落領唱的他，一直期望著有一天帶著阿美族的音樂走出部落，讓世人都能聽見。最終「老人飲酒歌」事件使阿公及馬蘭吟唱隊的歌聲成為世界的焦點。,,阿美語,1
701,T,U,12,5,,,"Na ci vaki ci Difang ku pasadakay tu radiw nu Yen-cu-min, i saka savaw tu tulu a teka nu Cin-cyi-ciyang pakaulah tu heniyan a maramud, ci vaki ci Difangan. Manay singangan tu i kitakit nu hekal ku Yen-cu-min nu Taywan.",由於郭英男阿公對於推廣原住民音樂的巨大貢獻，在第13屆台灣金曲獎頒發了特別紀念獎給他們夫妻。郭英男阿公，是一個把台灣原住民的聲音帶向全世界的人。,,阿美語,1
702,T,U,12,5,,,"Kita, u raremay nu Pangcah, akaa kapawan tu nipaherud ni Difang vaki i niyaru’.",我們身為阿美族的後裔，不要忘記郭英男阿公的貢獻！,,阿美語,1
703,T,U,12,6,,,U paradiway,領唱者,,阿美語,1
704,T,U,12,6,,,"Iniyan u miparadiw hananay, u micidekay a punuh nu tuas a mitulun tu micaradaway nu kasaselal nu kapah atu limucedan a malalikid i niyaru’, u sakavana’ tu sakalatamdaw atu sakadademak.",關於「Miparadiw」的吟唱方式，是我們阿美族袓先在部落豐年祭典時用來訓勉年齡階級的男女青年最獨特的智慧，教導他們做人處事的道理。,,阿美語,1
705,T,U,12,6,,,"U “Paradiway” hananay a radiwan, u miparadiway ku mikeriday, u selal tu ku micararadaway a pacauv, matiya tu u mikeriday atu masasuwalay nu alumanay. Tulu ku tapang a paini. Saayaway, miangang a paradiw, a miaray tu malasawaday tu nu matuasay. Yu malingatu a malalikid, caay kanca kaw tumuk anusa u kaka nu mamikeriday a paluku pavana’ tu malasawaday tu nu matuasay, pavana’ tu demak nu niyaru’, milunguc tu sakakapah nu niyaru’, a adihayen ku sadak tu nikaumahan, sarahiden ku nikaalaan i piadupan atu pivutinagan.",「Paradiway」的吟唱方式，由領導者領唱，年齡階級的群體和聲回應，猶如領導和部落的群體相互對話一樣。這種「miparadiw」的吟唱方式有三個重要的意義。首先，是作為呼喚已故的長輩表示感恩之歌。每當部落的豐年祭的開幕儀式，必須由頭目或由大統領帶領吟詩向已故的長輩宣示，向祂們稟告部落的活動，祈願祂們賜福部落族人生活富裕、五穀豐收及青年人狩獵捕魚大有所獲。,,阿美語,1
706,T,U,12,6,,,"Dudu satu, u sapitulun a pavana’ tu rarem. Sipakayni i radiw atu keru a sapavana’ tu a maanen ku ngudu tu matuasay, ku demak, ku nipatireng tu parud nu luma’ atu sikatatudung tu demak nu niyaru’.",[---] 其次，是長輩用來訓勉教育後輩之方式。藉由豐年祭歌唱跳舞之際，賦予有意義的歌詞內涵，向年齡階級及群體教導如何敬老尊賢、指導工作的方法、訓勉如何建立家庭及對部落事物應盡的責任義務。,,阿美語,1
707,T,U,12,6,,,"Salikulay, u sakaulah nu alumanay kina raradiwen. U maulahay a remadiw ku Pangcah, anu ira ku demak nu niyaru’, yu mapapaliw, misaluma’, mivuting… yu mapapadang ku Pangcah. Herek sa ku demak, itiya a lavii malecapu tu a malavi. U kaulahen a cacaradawan a remadiw, ira ku mikeriday, ira ku micacaradaway nu alumanay, mangalev ku nikavalud a malecacay ku valucu’, a madadipudiput a riharay a maurip.",最後，是大家同樂餘興時一起歌唱用的歌。阿美族是愛好歌唱的民族，如果部落有活動，例如互相換工、蓋房子和河祭捕魚等等，阿美族族人一定會彼此互相幫忙。當工作完成了之後，晚間一起聚餐。阿美族人在一起時最喜歡以「miparadiw」的方式歌唱，有人領唱，有人和聲回應，透過歌唱部落族人的感情更加堅固，在彼此吟唱時，意表我們就是同根的阿美族，無憂無慮快樂的生活。,,阿美語,1
708,T,U,12,7,,,"Lutuk, liyal",山、海,,阿美語,1
709,T,U,12,7,,,"U lutuk satu, u umah nu miadupay. U liyal satu, u kakarayan nu mivutingay.",山是獵人的大地。海是漁人的蒼天。,,阿美語,1
710,T,U,12,7,,,"Ira ku valucu’ nu lutuk, ira ku mucel nu liyal. U lutuk ku palavavainayay tu tamdaw. U liyal ku patirengay tu kilemelay nu tamdaw.",山有情，海有義；山造就了勇士。海造就了能者。,,阿美語,1
711,T,U,12,7,,,Sitama’ ku pana’ nu tadavavainay. Makaala ku salil nu kilemelay a kapah tu vuting nu liyal.,勇士之箭捕獲了獵物。能者之網捕獲了海中的魚。,,阿美語,1
712,T,U,12,7,,,"U malairayay tu tireng a kapah, makakuku i lutulutukan, a midemec tu rariama nu tamdaw.",習武的少年，在山中追逐，征服人性的懦弱。,,阿美語,1
713,T,U,12,7,,,"U tanuhtuhay ku tireng a limucedan, masakemut i dadisapan nu liyal, a mivahvah tu aniw’iw nu valucu’, caay kasacacay sa ku lutuk, caay kaaniw’iw ku liyal.",健美的少女，在海邊嬉戲，驅除心中的無情;山不孤單，海不寂寞。,,阿美語,1
714,T,U,12,7,,,"U lutuk satu, u vudawan nu mita u tamdaw. U liyal satu, u tika nu mita u tamdaw.",山是我們的寶藏，海是我們的迷宮。,,阿美語,1
715,T,U,12,7,,,"Ira ku valucu’ nu lutuk, ira ku mucel nu liyal. Pakasipunuen ku lutuk nu mitekeray, pakasipunuen ku liyal nu mivutingay.",山有情，海有義。山使獵人有智慧，海使漁人聰明。,,阿美語,1
716,T,U,12,7,,,"U malairayay satu a kapah; mapacekil ku heni i lutuk, u tanuhtuhay a limucedan; mavuhat ku valucu’ nu heni i liyal. Caay pilekal ku lutuk, caay pilivavuy ku liyal.",習武的少年，在山中頓悟；健美的少女，在海中釋懷;山不咆哮，海不怒吼。,,阿美語,1
717,T,U,12,7,,,"U lutuk satu, u kilemel nu mita u tamdaw, u liyal satu, u nemnem nu mita u tamdaw. U lutuk satu, u umah nu miadupay, u liyal satu, u kakarayan nu mivutingay.",山是我們的能量，海是我們的泉源。山是獵人的大地，海是漁人的蒼天。,,阿美語,1
718,T,U,12,7,,,"Ira ku valucu’ nu lutuk, ira ku mucel nu liyal. Naihacwa tu hakiya? Masumad tu ku sakaurip, cemakat tu ku nikaurip.",山有情，海有義。曾幾何時？生活改變，文明向前邁進。,,阿美語,1
719,T,U,12,7,,,"Masakapukaput, masaveleveleng ku tamdaw, cemakat talal utuk, tala liyal a mihulul.",人群人潮，前往山中，邁向海洋遊玩。,,阿美語,1
720,T,U,12,7,,,"Silusa’ tu ku lutuk, temangic tu ku liyal. Muraraw tu ku tamdaw nu Pangcah, awaay tu ku pakayraan.",山流淚，海哭泣。族人迷惘，族人失落。,,阿美語,1
721,T,U,12,7,,,"Macuwa tu? U malairayay a kapah, rakarak satu i terung nu tamtamdawan, u tanuhtuhay a limucedan munavaw satu a malikid i terung nu tamtamdaw.",究竟？習武的少年在人山中流浪，健美的少女在人海中沉浮漂流。,,阿美語,1
722,T,U,12,7,,,"U nipitadihang nu matuasay tu lutuk atu liyal, malecad tu naa:yaway, caay hen kalasawad.",先祖對山與海的呼喚，依舊未破碎。,,阿美語,1
723,T,U,12,7,,,"Kapahaw, limucedan! Kataluma’ tu haw! Yu paengaw hen kisu, malecad tu ku nikatemireng niya lutuk, malecad tu ku nikalikid niya liyal.",美少年，美少女啊！記得歸來唷！當你仰望時，山依在，海在流。,,阿美語,1
724,T,U,12,7,,,"Naluwan! U lutuk satu, u umah nu mita. I ya hey yan! U liyal satu, u kakarayan nu mita.",娜魯灣呀！山是我們的大地，依呀嗨啊！海是我們的蒼天。,,阿美語,1
725,T,U,12,8,,,Masakapahay,青春,,阿美語,1
726,T,U,12,8,,,"“Masakapahay” hananay, caayay ka cacay a laed i nikauripan nu mita tina hekal, caay aca pakayni i lahengangay nu vilvil atu tanestes nu tireng.",「青春」並非人生旅程的一段時光，也並非僅代表粉頰紅唇和體魄的矯健。,,阿美語,1
727,T,U,12,8,,,"Cira han tu, u masarumuday ku valucu’, u nisimsiman nu punu’, nisakakuwan a misavaluhay tu nisimsiman, u mucelay ku wayway tu navalucuan, ira ku sapiay na i sawaliyay a vali i terung nu vangcalay a valucu’.",它是心靈中的一種狀態，是頭腦中的一個意念，是理性思維中的創造潛力，是情感活動的一股勃勃的朝氣，是人生春色深處的一縷東風。,,阿美語,1
728,T,U,12,8,,,"U “masakapahay” satu, lahekel sa a mivalah tu nikasasuulah a mikilim tu sakaurip, sakasaan u mucel atu wayway ku milawitay tu ngudu, rariyama atu kangalayan.",「青春」意味著甘願放棄溫馨浪漫的愛情去闖蕩生活，意味著超越羞澀、怯懦和慾望的膽識與氣質。,,阿美語,1
729,T,U,12,8,,,"Matiya, enem a pulu’ ku mihecaan, savaw tu enem ku mihecaan aca, caay kanca kasulut nu lalikul ku tamdaw amin, a mahaen nu wawa ku pihalhal tu ulah a madademec i terung tu nu nikaurip.",無論是六十歲還是十六歲，每個人都會被未來所吸引，都會對人生競爭中的歡樂懷著孩子般無窮無盡的渴望。,,阿美語,1
730,T,U,12,8,,,"Nika, alamaanan ira ku enemay a pulu’ ku mihcaan a vavainay kikakaan ku mucel atu wayway tu tusaay a pulu’ ku mihcaan nu masakapahay, caay pakaini i nikalasawadan nu remiad ku nikatuas nu tamdaw, itiya tu nikaawaayan ku nisimsiman a musadak ku matuasay a tamdaw.",然而，六十歲的男人可能比二十歲的小夥子更多的擁有這種膽識與氣質，沒有人僅僅因為時光的流逝而變得衰老，只是隨著理想的毀滅，人類才出現了老人。,,阿美語,1
731,T,U,12,8,,,"Pakaini nikatungal nu miheca a sikulevut ku vanges nu mita, nikaawaay ku nisurit i adingu, anu ira tu sidait atu padaki nu mita, anu caay tu pasuelin tu nisimsiman nu tireng, a kunur satu i sietahay a remiad.",歲月可以在皮膚上留下皺紋，卻無法為靈魂刻上一絲痕跡，憂慮、恐懼與缺乏自信才使人佝僂於時間的塵埃之中。,,阿美語,1
732,T,U,12,8,,,"Sisa, anu kilemel a misanga’ tu ngitih, misakaku aca a midudu tu ngitih, madupuh aca a milaheci tu vangcalay a ngitih, a masakapahay satu kita tangasa i dauc.",所以，只要勇於有夢、敢於追夢並勤於圓夢，我們就永遠得青春。,,阿美語,1
733,T,U,12,8,,,"Sisa, akaa katahsuwal sa, matuas tu kaku, awaay tu ku ’epuc, saka saan, masakapah hananay, u kilemelay, iraay ku ngitih, caay kanca kaira ku sakataleayawan.",所以，千萬不要動不動就說自己老了、不中用了，因為青春年輕就是力量，有夢就有未來。,,阿美語,1
734,T,U,12,9,,,Nu rarem a nikaurip anini,現代文明的生活,,阿美語,1
735,T,U,12,9,,,"Midudu kita u tamdaw a taleayaw a cemakat ku nikaurip, cuvay sa aca a macemakat a matenak ku ke-ci, awaay tu ku nipaherek a kapah nu nikaurip nu mita u tamdaw, u karireng ku misumaday tu na i ayaway a kelakela; u lampu a tinguhuyan maladingki a masumad, cemakat aca ku nikaurip nu rarem anini, cuvay satu ku dingwa a pararawis, u dadakawan ku pakakalamekamay tu nikaurip nu mita anini, sacaluway satu ku rarem tu nikaira nu dingki anini.",隨著時代的進步與科技的的發展，人類的文明不斷的進步，從以前的牛車變成汽車；油燈變成電燈，現在人們的生活也都很進步，用電話加快通訊，現代交通工具加快了生活的節奏，電器的生產帶給我們現代人許多的方便。,,阿美語,1
736,T,U,12,9,,,"Caay tu kaw sasawaden ku tilivi i nikaurip nu mita anini, sisa, nipiarawan tu tilivi mavavana’ kita tu maamaan nu i hekal a demak, anu ira ku misitekeday nu rimurakay a mamelawen i tilivi, caay tu pikihatiya tu alumanay a micelcel i hekal. Saruekuk satu i luma’ a miaraw tu tilivi. Awaay tu ku caayay pirapet tu tinaw atu wanglu i kadademakan, pakaynien i wanglu cuvay sa a maala nu lalumaan ku nipacudadan, idengay aca a masasuwal atu makacuwacuwaay a cavayan. Sisa, riharay ku nikaurip nu mita tu nikaira nu ke-ci. A siruma kavangcal ku nikaurip nu mita anini, araw han ira tu ku i lalinikay kalihalawan a acekan i liyut nu hekal.",電視在我們的生活中是不可缺，因為我們可從電視新聞報導了解國內外的時事，有特別的節目演出時，我們不必到現場人擠人，在自己的家看電視就可以看到精采的表演。電腦與網路在各行各業的應用更廣泛，我們要寄一封信給國外的親友只要幾秒鐘對方就可以收到，也可以在電腦網路上和天南地北的朋友聊天。因此，科技使我們的生活更加快捷方便，可是這看來似乎豐富多彩美好的生活表面下，卻隱藏著一個巨大的隱憂，環境污染。,,阿美語,1
737,T,U,12,9,,,"Anu hacawa ku nikakapah nu dingki matiya u tilivi, tinaw, soci atu mihelupay tu tatuni’ a kikay (si-cen-ci), pataduen tu nu kikay amin ku dademakan nu tamdaw. Nika, anu pakananuwangaw sa kita tina rarepetan amin, a u dingki ku milinengay, matiya u dadakawan nu mita a karireng, hikuki. Kanahatu, caluway tu ku tamdaw, nika, iraan nilinengan siraecusay a acuvel el-yang-hua-tan. U miraecusay tu tireng ku matilaay a acuvelan. Iri, nipatahkalan a acuvel miuning aca tu liyut nu tamdaw; iraan nipatahkalan a acuvel, pasakudul a mavawvaw i kakarayan, likul saan, malacileminay ku urad; anu mahelup nu tamdaw kira acuvel, a malavalec a sikaadada nu tireng.",[---] 現代工具已經代替了人們的手，可是這些用品必須要用電來發動，而電煤如汽車、飛機等一系列的交通工具，雖大大方便了我們人們，但所排放出來的二氧化碳卻不利於人體。同時，它們所排放出來的氣體，會汙染環境；飄向天空，會形成酸雨；被人體吸進則會有生命的危險。,,阿美語,1
738,T,U,12,9,,,"Mangalev tu ku nikauning nu liklik nu hekal anini, sisa, malingatuaw tu nu mita a makumud a midimel tu liyuliyutan, a misakapah tu sakauripan nu hekal nu mita.",現在的環境已經極度的污染，從現在開始，從我們做起，讓我們大家一起保護、愛護我們的環境。,,阿美語,1
739,T,U,12,10,,,U tatukalan a cudad tu sakaykakulian nu micudaday i kudulay a cacudadan,高中生職涯規劃信,,阿美語,1
740,T,U,12,10,,,"Yu maherek tu kuni picudad tu kudulay a cacudadan, tarakaway a cacudadan aca mangalay a vesuc sa a mikilim tu kakulian, a u kaulahan nu tireng kuya sapikulian, tarakaw aca ku lipida, sisa, pisameteki a misimsim anini, a maanen a malatamdaw? A maanen ku nikaurip? Anu sipinang tu ku nisimsiman, a suriten ku navalucuan nu misu, kiya tangelal ku nikamelawan tu anu aayaway a lalan atu sapilaheci a demak. U saka cacay a tatukulan tu sakay i kakulian satu, caay kanca a ira ku nitucekan a lalan.",如果想在高中或大學畢業後想馬上進入職場，而那份工作是自己喜歡的並且享有高薪時，那麼現在請先仔細思考，自己想要成為什麼樣的人？想要過著什麼樣的生活？思考清楚這問題後，將你的想法寫下來，你才能清楚看見前方所要走的路以及所要努力完成的事。這是職涯規劃的步驟之一：設定目標。,,阿美語,1
741,T,U,12,10,,,"Anu ira tu ku nitucekan, a sulinayay ku ulah nu tatireng, pitanengi tu nikavanaan nu tireng, a mavana’ aca kisu tu nu ayaway a tatudung atu daduy nu demak, kiya sipinang ku nipatucekan, malaheci aca ku nisakakuwan a nitukalan. Matiya mangalay a micumud kisu tu nitucekan a kakulian i lalikul nu limaay a mihca, nika a madupuh a minanam tu natucekan a demak i terung nina limaay a mihcaan, metmeten ku remiad atu nipalasawadan a pida tu sapacakat tu nikavanaan tu sakay nitucekan a demak isu. Saka saan, idengay tu a micumud tu navalucuan a kakulian i herek tu limaay a mihca, ta malaheci ku nikangalaayan a nikaurip.",[---] 當我們設定目標時，要誠實面對你自己的興趣、評估自己的長處，同時你還要了解未來職場的產業性質與社會價值觀，如此才能訂定明確的目標以及可落實的行動方案。例如目標是設定在五年後要進入某一間公司，那麼在這五年內所從事的學習與努力，都要緊扣這目標，充份掌握時間和金錢投注於你所設定的職場的工作能力的提昇上。如此五年後才能心想事成進入該職場，如心所願地過著自己想要過的生活。,,阿美語,1
742,T,U,12,10,,,"Padudu satu, mitukal tu sapilaheci a demak. Yu mitukal tu kita, malingatu a misimsim, u maan ku kaulah a dademakan nu tireng, nika, anu ira tu ku nitucekan a kakulian, piditeki tu ’epuc atu daduy nu tireng, atu u maan a tamdaw ku kangalayan nu nitucekan a kakulian atu daduy nina kakulian. U maan aca ku kaulahan a demak isu anini? Yu mavana’ tu kaulahan a demak isu, makahemhem haw kisu tu utiihay a demak i kakulian? Ura sisa pisameteki a misimsim, masasingtev haw ku kaulah a demak isu atu kakulian.",其次是規劃行動方案。當我們規劃行動方案時，我們首先會從興趣發想知道自己比較喜歡的工作，但是，要做出目標設定時，自己的能力和價值觀以及目標職場需要的人才及職場價值觀，是同時要被考量的。然而現在的你了解自己的興趣所在嗎？即便是知道了自己興趣，這興趣是能讓你忍受工作環境的嚴峻的嗎？請好好思量你的興趣是否和工作的本質符合。,,阿美語,1
743,T,U,12,10,,,"Salikulay satu, u micudaday hen kisu tu kudulay a cacudadan anini, ira tu ku nikacekil. Mihemek kaku i tisuwanan, kavana’ a pasayra i vangacalay a lalan!",最後，希望還是高中生的你，能有此體悟。祝你人生因懂得規劃朝向美好的境地！,,阿美語,1
744,V,B,01數字計量,,,,cacay,一,,阿美語,1
745,V,B,01數字計量,,,,tusa,二,,阿美語,1
